Canonical Pathways;e01=IOX.3/C;e02=T4IOX.3/T4;e03=T4IOX.3A5/T4A5;e04=IOX1/C;e05=T4IOX1/T4;e06=T4/C;e07=T4IOX.3/IOX.3;e08=T4IOX1/IOX1;e09=T4IOX.3/C;e10=T4IOX1/C;e11=T4A5/T4;e12=T4IOX.3A5/T4IOX.3;e13=T4IOX.3A5/T4;e14=T4A5/C;e15=T4IOX.3A5/IOX.3;e16=T4IOX.3A5/C
Type II Diabetes Mellitus Signaling;0,00;0,00;0,82;0,00;1,99;3,35;2,55;2,78;2,54;3,19;3,97;2,87;3,45;0,35;0,58;0,43
Pancreatic Secretion Signaling Pathway;0,73;0,97;0,48;0,00;2,84;3,38;2,39;3,33;3,62;3,49;3,67;3,42;4,60;0,00;0,52;0,51
GM-CSF Signaling;0,00;0,39;0,00;0,00;1,56;2,82;3,12;2,84;4,04;2,92;3,44;3,28;4,36;0,00;0,78;1,43
Synaptic Long Term Potentiation;0,00;0,61;0,85;0,00;1,70;2,73;2,66;3,36;3,31;4,19;3,86;3,25;4,20;0,00;0,62;1,13
Vitamin-C Transport;0,00;0,81;0,00;2,33;1,18;2,68;3,76;2,02;3,02;2,06;2,31;2,02;0,83;0,51;1,55;0,37
Inhibition of Angiogenesis by TSP1;0,00;0,00;0,34;0,85;2,63;2,06;1,76;2,33;2,78;2,92;4,60;5,31;2,04;0,99;0,28;0,00
Signaling by BMP;0,00;0,76;0,48;0,96;0,00;3,64;1,50;2,20;2,59;2,25;4,62;5,30;3,97;0,00;0,83;1,11
Ethanol Degradation IV;0,00;0,00;0,00;0,00;0,00;2,42;2,12;2,94;3,39;2,99;4,84;4,07;2,89;1,22;0,87;0,68
Corticotropin Releasing Hormone Signaling;0,00;0,52;0,61;0,31;1,02;3,07;2,90;2,54;3,53;3,57;5,58;4,75;3,23;1,00;0,80;0,31
MYC Mediated Apoptosis Signaling;0,00;0,52;1,14;0,00;0,47;3,19;3,20;3,60;3,73;3,16;3,09;5,60;1,92;0,25;1,38;0,41
Ephrin B Signaling;0,00;0,39;0,65;0,00;0,24;2,41;2,70;1,76;2,30;2,92;1,85;4,57;2,72;0,96;0,51;0,32
Signaling by EGFR;0,00;0,00;0,73;0,00;0,00;2,68;3,20;3,60;2,70;3,16;1,39;3,92;4,13;0,25;0,95;1,03
Melanoma Signaling;0,00;0,00;1,08;0,00;1,72;2,07;3,01;3,37;4,06;2,50;2,90;6,42;4,33;0,00;0,56;0,97
Endocannabinoid Developing Neuron Pathway;0,00;0,62;1,51;0,00;2,61;1,67;2,20;3,55;2,80;2,99;3,33;6,02;4,12;0,00;0,46;0,72
WNT/β-catenin Signaling;0,87;0,00;0,59;0,27;1,27;1,90;2,21;3,73;3,64;1,95;3,45;4,48;2,62;1,20;0,00;0,27
GDNF Family Ligand-Receptor Interactions;0,00;0,00;0,00;0,00;1,88;1,76;3,16;4,14;4,55;2,93;4,40;3,51;3,35;0,00;0,69;0,67
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency;1,00;0,22;0,00;0,36;1,47;1,78;2,34;4,51;3,68;2,85;4,27;4,07;3,09;0,00;0,33;1,00
Neurotrophin/TRK Signaling;0,00;0,00;0,82;0,00;1,34;0,61;1,53;4,79;2,92;3,09;2,81;2,83;3,04;0,00;0,64;1,19
Xenobiotic Metabolism General Signaling Pathway;0,00;0,00;1,20;0,32;1,44;1,40;2,63;4,23;2,93;2,44;3,08;4,38;3,75;0,00;0,48;1,39
Role of MAPK Signaling in the Pathogenesis of Influenza;0,00;0,00;0,75;0,00;0,58;1,76;1,09;3,49;2,65;2,79;2,54;4,33;2,68;0,00;0,85;2,20
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza;0,00;0,00;0,85;0,00;1,35;2,29;1,74;2,49;2,63;2,91;3,55;4,92;2,79;0,00;0,88;1,56
Salvage Pathways of Pyrimidine Ribonucleotides;0,00;0,81;0,35;0,45;3,22;3,64;2,58;1,14;2,93;1,70;3,18;4,06;2,58;0,00;1,21;0,38
Necroptosis Signaling Pathway;0,00;0,00;0,79;0,00;1,59;2,93;2,75;1,26;3,04;2,51;2,05;3,27;2,05;0,00;2,58;0,56
IL-13 Signaling Pathway;0,00;0,00;0,00;0,00;2,48;2,42;1,84;1,49;2,11;1,55;2,94;2,28;1,99;1,38;0,00;0,00
Neuropathic Pain Signaling in Dorsal Horn Neurons;0,00;0,77;0,00;0,00;2,48;2,50;1,65;1,89;1,93;2,27;3,95;2,22;2,43;0,00;0,80;0,49
CGAS-STING Signaling Pathway;0,00;0,00;0,00;0,00;2,30;2,67;2,57;2,30;1,74;2,69;3,36;1,95;2,94;1,12;0,53;0,00
Adrenergic Receptor Signaling Pathway (Enhanced);0,00;0,75;0,00;0,00;1,75;3,69;2,73;1,08;2,46;2,34;4,63;3,20;2,37;0,66;0,00;0,00
Sonic Hedgehog Signaling;0,00;0,70;0,00;0,00;0,88;2,94;2,56;1,25;2,56;0,92;4,41;3,39;2,96;1,05;0,67;0,51
Endocannabinoid Neuronal Synapse Pathway;0,00;1,63;0,00;0,00;0,80;2,58;1,91;1,07;1,66;1,75;2,30;3,43;1,71;0,00;0,00;0,00
Leptin Signaling in Obesity;0,00;0,97;0,00;0,00;1,42;2,11;1,67;1,22;1,99;1,27;3,92;3,13;2,28;0,45;0,25;0,00
Melatonin Signaling;0,00;1,02;0,65;0,00;2,04;2,41;1,94;1,45;1,93;1,82;3,44;4,11;2,05;0,00;0,78;0,52
Orexin Signaling Pathway;0,00;1,01;0,00;0,00;2,00;2,41;1,45;0,79;2,01;1,99;3,25;3,47;2,14;0,00;0,45;0,46
Cell Cycle Control of Chromosomal Replication;0,00;0,00;0,33;0,00;2,12;2,67;3,62;2,52;3,61;4,58;1,09;2,29;1,44;0,00;0,00;0,85
Glycerophospholipid biosynthesis;0,00;0,29;0,34;0,00;1,30;3,10;2,47;2,75;4,90;3,21;2,34;3,14;1,87;0,00;0,40;0,76
Asparagine N-linked glycosylation;0,00;0,70;0,00;0,00;0,44;2,35;3,16;0,89;4,51;2,74;3,71;2,32;1,96;0,40;1,14;0,89
Amyotrophic Lateral Sclerosis Signaling;0,00;0,24;0,00;0,39;0,45;2,42;2,75;1,49;4,23;3,00;2,61;3,14;2,24;0,00;0,58;0,33
PIP3 activates AKT signaling;0,96;0,00;0,75;0,33;1,54;3,00;3,55;4,22;3,53;4,00;3,03;2,68;2,67;0,41;1,24;0,98
CDX Gastrointestinal Cancer Signaling Pathway;0,81;0,00;0,00;0,22;2,00;2,64;3,69;3,88;3,38;4,04;5,08;2,73;2,39;0,63;0,00;0,00
Relaxin Signaling;0,00;0,50;0,39;0,30;1,90;3,16;3,27;3,79;3,93;5,39;4,08;3,70;2,64;0,00;0,00;0,00
Natural Killer Cell Signaling;0,82;0,00;0,72;0,65;3,23;2,27;3,01;3,80;4,19;4,59;3,37;2,96;3,05;0,00;0,00;0,30
NOD1/2 Signaling Pathway;0,00;0,00;0,46;0,24;1,32;1,90;2,39;5,85;1,68;3,96;2,74;2,89;1,88;0,44;0,57;0,00
TNFR2 Signaling;0,00;0,00;1,87;0,00;2,04;2,25;1,93;5,15;1,46;3,82;3,56;2,66;2,29;0,39;1,10;0,48
HOTAIR Regulatory Pathway;0,00;0,00;0,90;0,28;2,49;2,22;2,31;3,95;3,47;3,14;4,30;1,07;1,78;0,89;0,32;0,61
Multiple Sclerosis Signaling Pathway;0,00;0,32;0,00;0,20;2,69;2,78;4,33;3,53;3,14;3,14;3,49;1,40;1,32;0,54;0,00;0,00
Hepatic Cholestasis;0,00;0,00;0,00;0,20;1,98;2,74;2,85;3,76;2,83;3,10;2,90;1,84;1,28;1,16;1,17;0,00
RAF-independent MAPK1/3 activation;0,00;0,81;0,00;0,00;3,59;2,05;2,37;4,02;2,36;2,66;2,31;2,56;1,19;0,51;1,55;0,37
eNOS Signaling;0,00;0,97;0,38;0,29;2,67;2,21;1,59;4,06;2,60;3,22;3,68;2,32;1,90;0,00;0,53;0,00
VEGF Family Ligand-Receptor Interactions;0,00;0,00;0,00;0,49;2,58;1,66;1,85;3,74;3,73;3,02;2,78;2,32;2,51;0,00;0,55;0,76
Netrin-1 signaling;0,00;0,00;0,41;0,00;1,80;2,21;2,71;3,60;3,19;3,68;3,09;2,97;1,92;0,72;0,32;0,41
Cell junction organization;0,00;0,31;0,63;0,00;1,89;1,15;2,53;4,07;2,88;3,35;2,40;2,16;2,06;0,36;0,71;0,65
PCP (Planar Cell Polarity) Pathway;1,31;0,45;0,55;1,53;1,01;1,96;2,34;3,03;2,76;3,11;3,60;2,63;1,18;0,60;0,00;0,28
Regulation of the Epithelial Mesenchymal Transition in Development Pathway;1,16;0,33;0,26;0,49;1,59;1,62;1,80;2,50;2,11;2,58;3,95;2,55;2,75;1,28;0,80;1,01
Melanocyte Development and Pigmentation Signaling;0,00;0,29;0,33;0,00;1,67;1,39;1,51;2,05;2,40;3,14;2,98;2,74;2,35;0,00;0,39;0,75
FGF Signaling;0,00;0,87;0,69;0,00;0,54;1,29;1,46;2,79;2,77;3,26;3,87;2,79;2,35;0,00;0,32;0,50
SUMOylation of intracellular receptors;0,00;0,00;0,00;0,00;0,00;1,57;2,94;3,11;2,34;1,53;3,51;2,27;1,89;1,13;0,76;0,27
Endoplasmic Reticulum Stress Pathway;0,00;0,00;1,88;0,00;0,00;2,98;2,66;2,29;2,65;1,75;3,29;2,97;1,41;0,00;0,00;0,84
Xenobiotic Metabolism PXR Signaling Pathway;0,00;0,00;0,99;0,23;0,00;2,44;2,95;2,93;2,40;2,54;3,31;3,78;2,63;0,42;1,63;1,93
Putrescine Degradation III;0,00;0,00;0,20;0,00;0,22;2,83;1,90;2,15;2,50;2,19;3,87;3,41;1,75;0,52;1,00;0,80
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza;0,00;0,00;0,84;0,00;0,98;2,77;1,89;3,94;2,60;2,77;3,30;3,30;1,31;0,00;0,96;1,22
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate;0,00;0,00;0,00;0,00;0,72;1,97;3,01;2,79;1,83;4,33;1,80;1,22;2,20;0,00;0,00;0,00
Transcriptional Regulation by NPAS4;0,00;0,00;1,15;0,00;0,37;1,98;1,67;2,74;1,67;5,37;2,07;2,24;1,92;0,96;0,57;0,00
Unfolded Protein Response (UPR);0,00;0,00;1,35;0,00;0,00;2,72;2,44;3,56;3,17;3,61;3,92;1,76;2,43;0,00;0,21;0,00
Platelet homeostasis;0,00;0,33;0,00;0,00;0,85;3,57;2,91;4,18;3,73;4,29;3,59;2,32;2,51;0,00;0,00;0,00
Signaling by SCF-KIT;0,00;0,00;0,24;0,00;1,01;3,35;2,38;2,37;2,37;4,02;2,79;2,13;2,26;0,00;0,42;0,88
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate);0,00;0,00;0,25;0,00;0,28;3,52;2,44;2,79;1,79;3,61;2,38;2,34;1,84;0,00;0,21;0,50
Mevalonate Pathway I;0,00;0,00;0,32;0,00;0,35;3,52;2,39;2,87;1,68;3,78;2,34;2,59;1,98;0,00;0,28;0,66
Metabolism of folate and pterines;0,00;0,00;0,00;0,00;1,01;2,85;2,59;4,05;1,83;2,33;3,40;2,13;2,20;0,00;0,85;0,24
Superpathway of Serine and Glycine Biosynthesis I;0,00;0,00;0,00;0,00;0,72;3,20;3,01;2,79;3,00;2,81;2,97;2,15;2,20;0,00;0,63;0,56
Folate Transformations I;0,00;0,00;0,00;0,00;1,30;2,89;3,71;3,39;2,66;3,43;3,65;1,69;2,56;0,00;0,42;0,35
Deubiquitination;0,00;0,00;5,99;0,00;0,72;0,47;0,96;2,53;0,95;1,06;1,60;4,53;5,30;0,00;0,00;0,96
Interleukin-1 family signaling;0,00;0,00;6,58;0,00;0,57;0,38;0,68;2,06;0,53;1,88;0,49;4,23;4,57;0,00;1,49;2,54
Neddylation;0,00;0,00;5,65;0,00;0,00;0,93;1,48;1,21;0,52;1,62;0,77;4,34;5,97;0,25;0,70;2,15
Granzyme A Signaling;1,22;0,38;3,30;0,54;0,00;0,00;0,37;1,90;0,37;0,86;0,00;2,60;4,42;0,92;4,61;3,11
RHO GTPases activate PKNs;0,00;0,00;4,65;0,00;0,00;1,12;1,81;0,46;1,80;0,48;1,75;2,79;2,92;2,00;2,59;2,84
Detoxification of Reactive Oxygen Species;0,00;0,00;5,43;0,00;0,72;1,38;1,96;0,88;1,52;0,91;0,77;5,26;4,18;0,92;4,09;3,41
TP53 Regulates Metabolic Genes;0,00;0,33;5,09;0,49;0,82;0,61;1,20;0,63;0,75;1,07;0,53;3,13;3,00;0,38;4,41;3,42
Colanic Acid Building Blocks Biosynthesis;0,00;2,35;2,55;1,22;0,96;0,34;0,00;0,52;0,28;0,23;0,60;1,91;1,40;0,00;2,34;2,02
NADH Repair;0,00;1,67;2,23;1,87;0,93;0,00;0,00;0,44;0,49;0,45;0,00;0,31;1,00;0,00;0,00;1,94
Mitochondrial translation;0,00;0,00;5,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,08;2,07;0,00;3,42;5,13
Chaperone Mediated Autophagy;0,00;0,00;4,47;0,00;0,22;0,00;0,92;0,00;0,00;0,00;0,54;1,67;2,28;1,32;2,35;3,54
Aggrephagy;0,00;0,00;4,80;0,00;1,01;0,49;0,58;0,41;0,00;0,00;0,00;1,41;2,69;0,30;2,23;2,31
Late endosomal microautophagy;0,00;0,00;5,80;0,00;0,39;0,00;0,65;0,00;0,00;0,00;0,38;2,86;2,50;0,99;2,83;2,99
Endosomal Sorting Complex Required For Transport (ESCRT);0,00;0,00;5,22;0,00;0,00;0,00;0,28;0,00;0,00;0,00;0,00;3,39;2,96;0,00;2,35;1,93
TCF dependent signaling in response to WNT;0,82;0,37;5,45;0,23;0,00;0,00;0,34;0,69;0,63;0,62;0,37;2,14;2,42;0,00;0,35;1,57
Gap junction trafficking and regulation;0,00;0,00;4,86;0,00;1,31;1,16;0,65;0,74;0,00;0,00;0,38;1,53;1,62;0,37;0,28;0,44
Macroautophagy;0,00;0,00;4,55;0,00;0,90;0,00;0,00;0,55;0,00;0,40;0,00;0,82;1,39;0,00;1,31;1,29
Mechanisms of Viral Exit from Host Cells;0,00;0,00;5,88;0,00;1,07;0,33;0,25;0,47;0,24;0,72;0,00;0,96;2,07;0,00;0,80;0,94
Inhibition of ARE-Mediated mRNA Degradation Pathway;0,00;0,00;5,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,54;1,65;2,30;0,31;1,38;2,14
MTOR signalling;0,00;0,00;5,64;0,00;0,00;0,00;0,60;0,26;0,00;0,27;0,58;0,72;0,77;0,00;1,27;2,15
TCR signaling;0,00;0,00;6,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,88;1,17;0,00;0,94;1,88
Signaling by the B Cell Receptor (BCR);0,00;0,00;6,17;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,47;1,07;0,00;0,78;1,66
IL-12 Signaling and Production in Macrophages;0,75;0,61;0,00;1,05;5,78;1,62;1,35;2,39;1,51;2,09;3,65;0,96;1,73;2,28;0,35;0,00
The citric acid (TCA) cycle and respiratory electron transport;0,00;3,17;1,00;2,72;2,77;0,61;0,90;1,15;1,51;2,25;2,20;3,67;2,55;1,23;0,51;0,58
Cytoprotection by HMOX1;0,00;0,00;0,27;0,00;1,88;0,65;0,90;1,38;0,47;3,38;0,44;1,76;2,99;1,75;2,94;2,80
RORA activates gene expression;0,00;0,00;0,00;0,00;2,27;0,22;0,42;0,63;0,42;2,15;0,41;1,27;2,43;1,48;1,21;1,62
Heme signaling;0,00;0,00;0,00;0,00;1,97;2,06;3,10;2,10;2,12;3,63;1,64;2,19;3,72;2,20;1,07;1,62
Transcriptional Regulation by MECP2;0,00;0,00;0,00;0,00;0,94;1,79;0,86;2,36;1,42;2,84;2,04;0,92;1,01;3,28;1,83;1,00
Dissolution of Fibrin Clot;0,00;0,00;0,94;1,25;1,01;2,04;1,83;2,30;2,59;1,63;3,40;2,13;1,56;2,98;1,58;1,35
Inhibition of Matrix Metalloproteases;0,00;0,00;0,00;0,00;2,32;2,65;1,80;3,33;2,26;2,35;2,69;1,77;1,51;3,41;1,86;1,47
Glycosaminoglycan metabolism;0,00;0,00;1,57;0,00;2,27;1,95;1,84;3,41;2,53;3,09;2,43;1,88;2,69;2,73;1,28;0,62
Signaling by Activin;0,00;0,00;2,43;0,00;0,00;1,15;0,57;1,34;1,55;1,36;0,97;3,07;1,25;4,11;0,26;0,61
RHO GTPases activate CIT;0,00;0,89;2,90;0,00;0,26;0,84;1,67;0,95;1,67;0,97;1,11;1,15;1,21;2,48;1,15;1,54
RHO GTPases Activate ROCKs;0,00;0,00;3,88;0,00;0,00;0,84;1,15;0,58;1,14;0,59;1,11;1,15;1,68;2,48;1,15;1,54
Cargo concentration in the ER;0,00;0,00;0,00;0,85;0,39;1,58;1,76;0,74;2,24;2,38;0,61;6,04;4,16;0,37;0,60;0,00
Alpha-protein kinase 1 signaling pathway;0,00;0,00;1,94;0,00;0,00;0,96;2,19;0,73;1,45;1,29;0,39;5,99;4,80;0,00;0,97;0,82
Protein Sorting Signaling Pathway;0,00;0,00;2,55;0,26;0,71;1,34;1,61;1,93;2,05;1,40;0,79;6,48;3,66;0,00;0,69;0,63
Amyloid Processing;0,00;0,51;0,39;0,00;0,00;1,72;1,40;0,00;1,76;1,77;2,52;4,28;3,48;0,00;0,31;0,66
Regulation of cholesterol biosynthesis by SREBP (SREBF);0,00;0,00;0,00;0,00;0,33;1,15;0,57;0,00;2,22;1,36;0,55;3,91;4,02;0,00;0,26;0,00
Parkinson's Signaling;0,00;0,00;0,80;0,00;0,31;0,28;0,51;0,41;0,51;0,78;0,89;4,44;1,62;0,64;1,34;1,12
PI Metabolism;0,00;0,00;0,79;0,00;0,92;0,40;1,44;1,26;1,43;0,84;1,10;4,16;1,63;0,00;0,00;0,84
Pyroptosis;0,00;0,00;1,50;0,00;0,52;1,18;1,00;1,59;0,38;1,18;1,37;4,27;2,02;0,00;0,80;0,62
SNARE Signaling Pathway;0,97;0,59;0,57;0,00;0,00;1,21;1,90;1,08;1,41;1,79;1,32;3,54;2,16;0,00;1,32;0,45
MAP kinase activation;0,00;0,00;1,01;0,00;0,32;0,91;1,39;2,29;1,38;1,89;0,69;4,81;2,76;0,00;0,49;0,00
Intrinsic Pathway for Apoptosis;0,00;0,00;1,44;0,00;0,00;1,16;1,89;0,65;1,88;1,19;1,13;5,22;2,55;0,00;0,82;0,34
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation;0,00;0,00;3,71;0,00;0,72;1,00;0,81;2,02;1,96;1,63;1,09;2,43;2,11;0,00;0,53;3,41
RNA Polymerase II Transcription;0,00;0,00;2,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,43;3,45;0,00;2,37;2,95
Signaling by FGFR2;0,00;0,39;3,40;0,00;0,00;0,40;0,27;0,00;0,40;0,39;0,72;3,17;2,99;0,48;1,91;3,23
Nucleotide Excision Repair;0,00;0,00;2,38;0,00;0,00;1,00;1,12;0,74;1,11;0,97;0,65;4,86;3,23;0,00;1,57;2,52
TP53 Regulates Transcription of DNA Repair Genes;0,00;0,00;2,96;0,00;0,80;0,46;0,46;0,78;0,46;0,00;0,60;4,85;2,92;0,00;1,17;2,87
Signaling by FGFR1;0,00;0,00;1,14;0,00;0,00;1,06;1,12;0,60;1,12;0,87;1,39;3,92;3,62;0,25;0,95;1,91
RNA Polymerase I Transcription;0,00;0,00;2,17;0,70;0,00;1,40;1,12;0,84;0,83;0,87;1,76;3,43;4,13;0,00;0,95;2,43
Regulation of TP53 Expression and Degradation;0,00;0,00;3,54;0,00;0,00;0,91;1,80;0,00;1,03;0,35;0,45;3,63;3,26;0,00;0,86;1,47
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand;0,00;0,00;3,83;0,00;0,41;1,49;1,52;0,88;0,29;0,48;0,86;2,03;3,88;0,23;0,51;1,25
COPI-mediated anterograde transport;0,00;0,00;3,73;0,44;0,62;0,67;1,18;0,62;0,00;0,27;0,89;3,21;3,82;0,65;0,57;1,93
Regulation of TP53 Activity through Methylation;0,00;0,00;2,90;0,00;0,26;1,90;2,29;0,58;1,14;2,01;1,62;3,47;3,59;0,00;0,59;0,47
Metabolism of nitric oxide: NOS3 activation and regulation;0,00;0,99;2,43;0,00;0,33;1,75;1,56;0,84;1,55;0,86;0,97;3,07;3,17;0,00;0,26;1,19
DNA Damage Bypass;0,00;0,00;2,27;0,00;0,50;1,51;1,58;0,67;1,22;1,26;1,17;2,79;2,52;0,00;0,63;1,10
trans-Golgi Network Vesicle Budding;0,00;0,00;2,77;0,00;0,00;0,76;1,22;0,86;0,96;1,14;0,51;2,70;2,54;0,00;1,07;1,03
Signaling by NOTCH2;0,00;0,00;1,19;0,00;0,39;0,51;0,65;0,48;0,64;2,38;1,27;2,86;2,50;0,99;2,83;2,33
E3 ubiquitin ligases ubiquitinate target proteins;0,00;0,00;2,52;0,00;0,00;0,86;1,19;1,15;0,66;1,51;0,27;2,03;1,51;0,00;2,74;2,15
Protein ubiquitination;0,00;0,00;2,72;0,00;0,46;0,00;0,53;0,95;0,30;0,66;0,28;3,00;0,93;0,00;2,43;1,42
Myo-inositol Biosynthesis;0,00;0,00;0,00;1,65;0,00;1,03;0,94;0,28;0,94;0,85;0,92;2,15;2,20;0,00;0,63;0,56
Sphingosine and Sphingosine-1-phosphate Metabolism;0,00;0,00;0,00;0,00;0,00;1,19;0,52;0,00;1,06;0,00;1,04;3,47;2,56;0,87;0,42;0,35
Ceramide Degradation;0,00;0,00;0,00;0,00;0,00;0,77;0,22;0,19;0,69;0,19;0,67;3,40;2,37;0,97;0,51;0,44
Glutathione Redox Reactions I;0,00;0,00;2,12;0,00;0,50;1,12;1,34;0,46;0,93;0,27;1,29;1,38;2,38;0,00;1,27;2,15
RNA Polymerase III Transcription;0,00;0,00;3,38;0,00;0,00;0,55;0,42;0,00;0,00;0,00;0,39;2,36;2,07;0,31;0,80;1,87
Extra-nuclear estrogen signaling;0,00;1,01;1,34;0,00;0,75;0,26;1,56;0,51;1,26;1,18;0,37;3,17;1,68;0,00;0,76;1,05
MyD88 dependent cascade initiated on endosome;0,00;0,00;1,31;0,89;0,00;0,36;0,78;1,67;0,49;0,92;0,00;1,86;1,18;0,40;0,67;1,37
MyD88 cascade initiated on plasma membrane;0,00;0,00;1,62;0,00;0,00;0,28;0,75;0,59;0,44;0,60;0,00;2,77;1,82;0,00;0,43;1,16
MyD88:MAL(TIRAP) cascade initiated on plasma membrane;0,00;0,00;0,93;0,00;0,00;0,31;0,61;0,93;0,61;0,46;0,00;2,24;1,27;0,31;0,44;1,33
Assembly of RNA Polymerase II Complex;0,00;0,00;1,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,36;1,80;3,15;0,25;0,59;1,91
Cristae formation;0,00;0,00;1,31;0,00;0,00;0,00;0,28;0,00;0,00;0,00;0,00;1,86;2,96;0,00;2,35;1,93
Formation of xylulose-5-phosphate;0,00;0,00;0,69;0,00;0,00;0,36;0,32;0,84;0,94;0,85;0,92;2,15;3,54;0,00;0,63;1,46
NER (Nucleotide Excision Repair, Enhanced Pathway);0,00;0,00;0,66;0,00;0,00;1,50;0,70;0,32;1,12;0,47;0,49;2,94;2,83;0,00;0,50;1,58
ESR-mediated signaling;0,00;0,00;1,76;0,39;0,45;0,00;0,44;0,71;0,57;0,92;0,00;3,45;2,51;0,25;1,39;1,16
Pexophagy;0,00;0,00;1,94;0,00;0,00;0,47;0,85;0,33;0,40;0,74;0,39;2,68;2,76;0,00;1,79;0,82
RAS processing;0,00;0,00;1,68;0,00;0,00;0,31;0,48;0,00;0,24;0,65;0,23;2,97;2,49;0,00;0,91;3,28
Signaling by FGFR3;0,00;0,00;1,49;0,00;0,00;0,58;0,69;0,50;0,68;0,52;1,27;3,46;2,62;0,32;1,28;2,51
Signaling by FGFR4;0,00;0,00;1,45;0,00;0,00;0,55;0,65;0,47;0,65;0,49;0,89;2,81;2,07;0,31;0,80;1,87
Plasma lipoprotein assembly, remodeling, and clearance;0,00;0,37;1,69;1,34;3,59;0,93;1,72;1,54;1,71;2,25;1,96;1,61;1,49;1,47;1,81;1,31
Retinoid metabolism and transport;0,00;0,00;1,87;0,75;1,48;1,36;1,85;1,85;1,45;2,33;2,69;1,65;2,15;1,47;1,13;0,85
Hypoxia Signaling in the Cardiovascular System;0,00;0,37;2,68;1,34;2,42;0,51;2,06;2,54;2,05;3,01;1,96;2,19;1,24;0,46;1,39;0,98
Senescence-Associated Secretory Phenotype (SASP);0,00;0,39;2,27;0,00;2,01;1,03;1,56;3,17;0,99;3,26;1,48;2,12;1,68;0,95;1,48;1,40
IL-9 Signaling;0,00;0,64;1,12;0,00;3,26;1,89;1,60;1,67;1,19;2,17;3,03;0,53;2,23;0,35;0,55;0,00
RET signaling;0,00;0,00;0,00;0,00;2,22;1,97;0,93;2,57;1,65;2,63;3,56;0,72;0,78;0,31;0,00;0,00
iNOS Signaling;0,00;0,00;0,80;0,00;2,55;1,57;1,28;3,43;1,27;2,51;3,41;1,11;1,85;0,27;0,66;0,24
Interferon gamma signaling;0,00;0,00;0,38;0,46;2,80;1,63;2,07;1,03;1,47;1,84;1,96;0,59;0,42;0,71;0,68;0,86
UDP-N-acetyl-D-galactosamine Biosynthesis II;0,00;1,05;0,00;1,25;2,83;1,35;1,20;2,30;1,20;2,33;1,17;0,59;0,62;0,72;0,85;0,71
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses;0,00;0,00;0,00;0,80;4,58;1,69;1,18;2,27;1,37;2,37;1,93;0,52;0,74;0,60;0,00;0,00
IL-23 Signaling Pathway;0,00;0,00;0,77;0,00;3,91;1,51;1,22;2,36;0,91;1,99;1,51;0,60;1,43;0,74;0,35;0,00
Activation of the pre-replicative complex;0,00;1,62;0,36;0,00;1,98;0,00;1,84;1,94;1,39;2,49;0,00;0,95;0,50;0,00;0,00;0,46
Glucose metabolism;0,00;0,94;0,82;2,26;3,40;0,30;0,00;2,62;0,77;2,70;0,26;0,60;0,40;0,00;0,00;0,00
Interferon alpha/beta signaling;0,00;0,00;2,35;0,56;5,27;0,00;0,62;1,22;0,62;1,56;0,41;0,00;0,00;0,50;1,54;1,47
Coronavirus Replication Pathway;0,00;0,00;3,10;0,00;2,66;0,96;0,52;1,07;0,00;0,38;0,31;0,74;1,06;0,29;0,70;1,66
Transcriptional Regulation by VENTX;0,00;0,00;2,07;0,00;1,64;0,00;0,45;1,76;0,44;1,41;0,65;0,77;0,61;0,32;0,47;1,42
Cytosolic sensors of pathogen-associated DNA;0,00;0,00;1,78;0,73;1,97;0,92;0,49;2,10;0,31;1,74;0,95;0,50;0,75;0,00;1,07;0,25
Role of RIG1-like Receptors in Antiviral Innate Immunity;0,00;0,00;0,82;0,73;1,97;0,42;0,00;2,54;0,00;1,05;0,68;0,00;0,00;0,00;0,37;0,00
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza;0,00;0,00;0,00;0,49;4,34;0,34;0,32;1,61;0,00;1,14;0,42;0,00;0,00;0,00;0,00;0,00
Activation of IRF by Cytosolic Pattern Recognition Receptors;0,00;0,42;1,15;0,60;3,54;0,57;0,27;2,21;0,26;1,58;0,75;0,64;0,55;0,00;0,37;0,41
Macrophage Classical Activation Signaling Pathway;0,00;0,40;0,00;0,00;4,00;0,76;0,81;0,88;0,44;0,67;1,19;0,00;0,00;1,47;0,00;0,00
ISG15 antiviral mechanism;0,00;0,00;0,40;0,00;3,22;0,00;0,62;0,56;0,00;1,27;0,28;0,76;0,66;0,00;0,30;0,00
